1;Drage1;Drage2;Trapes1;Trapes2;Rektangel1;Rektangel2;LikeBeint1;LikeBeint2;LikeSidet1;LikeSidet2;RettVinklet1;RettVinklet2
2;1;1;1;1;1;1;0;0;0;0;0;0
3;0;0;0;0;1;1;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;1;1;0;0
5;0;0;1;1;1;1;0;0;0;0;0;0
6;0;0;0;0;0;0;1;1;1;1;0;0
7;0;0;0;0;0;0;0;0;0;0;1;1
8;1;1;1;1;1;1;0;0;0;0;0;0
9;0;0;1;1;1;1;0;0;0;0;0;0
10;0;0;1;1;1;1;0;0;0;0;0;0
11;0;0;0;0;0;0;1;1;1;1;0;0
12;0;0;0;0;0;0;1;1;1;1;0;0
13;0;0;0;0;0;0;1;1;1;1;1;1
14;1;1;1;1;1;1;1;1;1;1;1;1
15;1;1;1;1;1;1;1;1;1;1;1;1
16;1;1;0;0;0;0;0;0;0;0;0;0
17;0;0;1;1;1;1;0;0;0;0;0;0
18;0;0;0;0;1;1;0;0;0;0;0;0
19;0;0;0;0;0;0;1;1;1;1;0;0
20;0;0;0;0;0;0;0;0;1;1;0;0
21;0;0;0;0;0;0;0;0;0;0;1;1
23;1;1;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;1;1;0;0;0;0;0;0
25;0;0;0;0;0;0;0;0;1;1;0;0
26;0;0;1;1;1;1;0;0;0;0;0;0
27;0;0;0;0;0;0;1;1;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;1;1
29;1;1;1;1;1;1;0;0;0;0;0;0
30;1;1;1;1;1;1;0;0;0;0;0;0
31;1;1;1;1;1;1;0;0;0;0;0;0
32;0;0;0;0;0;0;1;1;1;1;1;1
33;0;0;0;0;0;0;1;1;1;1;1;1
34;0;0;0;0;0;0;1;1;1;1;1;1
35;1;1;1;1;1;1;1;1;1;1;1;1
36;1;1;1;1;1;1;1;1;1;1;1;1
37;1;1;0;0;0;0;0;0;0;0;0;0
38;0;0;1;1;1;1;0;0;0;0;0;0
39;0;0;0;0;1;1;0;0;0;0;0;0
40;0;0;0;0;0;0;1;1;0;0;0;0
41;0;0;0;0;0;0;0;0;1;1;0;0
